Year,Month,Relative Interest
2010,1,54
2010,2,54
2010,3,58
2010,4,52
2010,5,61
2010,6,59
2010,7,67
2010,8,64
2010,9,56
2010,10,50
2010,11,65
2010,12,74
2011,1,73
2011,2,72
2011,3,66
2011,4,63
2011,5,67
2011,6,72
2011,7,79
2011,8,72
2011,9,66
2011,10,67
2011,11,72
2011,12,83
2012,1,77
2012,2,78
2012,3,71
2012,4,69
2012,5,74
2012,6,84
2012,7,83
2012,8,73
2012,9,77
2012,10,65
2012,11,78
2012,12,86
2013,1,77
2013,2,77
2013,3,72
2013,4,69
2013,5,73
2013,6,79
2013,7,80
2013,8,79
2013,9,71
2013,10,67
2013,11,83
2013,12,91
2014,1,82
2014,2,77
2014,3,68
2014,4,70
2014,5,74
2014,6,79
2014,7,83
2014,8,73
2014,9,68
2014,10,63
2014,11,77
2014,12,84
2015,1,81
2015,2,74
2015,3,72
2015,4,68
2015,5,76
2015,6,76
2015,7,84
2015,8,81
2015,9,72
2015,10,70
2015,11,83
2015,12,100
