Year,Month,Relative Interest
2010,1,6
2010,2,9
2010,3,15
2010,4,12
2010,5,17
2010,6,17
2010,7,12
2010,8,14
2010,9,14
2010,10,18
2010,11,13
2010,12,12
2011,1,11
2011,2,14
2011,3,22
2011,4,22
2011,5,43
2011,6,22
2011,7,21
2011,8,22
2011,9,27
2011,10,20
2011,11,18
2011,12,25
2012,1,24
2012,2,25
2012,3,34
2012,4,31
2012,5,48
2012,6,35
2012,7,37
2012,8,38
2012,9,32
2012,10,28
2012,11,31
2012,12,34
2013,1,32
2013,2,43
2013,3,49
2013,4,52
2013,5,67
2013,6,51
2013,7,50
2013,8,49
2013,9,55
2013,10,51
2013,11,51
2013,12,56
2014,1,52
2014,2,57
2014,3,61
2014,4,74
2014,5,89
2014,6,64
2014,7,68
2014,8,70
2014,9,71
2014,10,69
2014,11,61
2014,12,67
2015,1,55
2015,2,78
2015,3,76
2015,4,90
2015,5,100
2015,6,77
2015,7,79
2015,8,84
2015,9,75
2015,10,66
2015,11,66
2015,12,70
